# Logfile created on 2026-03-24 15:52:29 +0100 by logger.rb/v1.4.3
2026-03-24 15:52:29 +0100: Memory Usage (440284K) : pexthv_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440412K) : graphgate_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440412K) : sinwg_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440540K) : sinwg_filler has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440540K) : sinwg_nofill has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440540K) : mempad_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440668K) : topvia1_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440668K) : topmetal1_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440796K) : topmetal1_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440796K) : topmetal1_mask has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440796K) : topmetal1_filler has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440924K) : topmetal1_nofill has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (440924K) : topmetal1_slit has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441052K) : topmetal1_text has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441052K) : topmetal1_noqrc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441052K) : topmetal1_res has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441180K) : topmetal1_iprobe has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441180K) : topmetal1_diffprb has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441308K) : inldpwl_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441308K) : polyres_drw has 3 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441436K) : polyres_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441436K) : vmim_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441436K) : nbulaycut_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441564K) : antmetal1_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441564K) : topvia2_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441692K) : topmetal2_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441692K) : topmetal2_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441692K) : topmetal2_mask has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441692K) : topmetal2_filler has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441820K) : topmetal2_nofill has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441820K) : topmetal2_slit has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441820K) : topmetal2_text has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (441820K) : topmetal2_noqrc has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (441820K) : topmetal2_res has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (441820K) : topmetal2_iprobe has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (441948K) : topmetal2_diffprb has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (441948K) : snsring_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442076K) : sensor_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442076K) : snsarms_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442076K) : snscmosvia_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442204K) : colwind_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442204K) : flm_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442332K) : hafniumox_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442332K) : memvia_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442460K) : thinfilmres_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442460K) : rfmem_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442460K) : norcx_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442588K) : norcx_m2m3 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442588K) : norcx_m2m4 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442716K) : norcx_m2m5 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442716K) : norcx_m2tm1 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442844K) : norcx_m2tm2 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442844K) : norcx_m3m4 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442844K) : norcx_m3m5 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442972K) : norcx_m3tm1 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442972K) : norcx_m3tm2 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (442972K) : norcx_m4m5 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443100K) : norcx_m4tm1 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443100K) : norcx_m4tm2 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443228K) : norcx_m5tm1 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443228K) : norcx_m5tm2 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443228K) : norcx_tm1tm2 has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443356K) : norcx_m1sub has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443356K) : norcx_m2sub has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443484K) : norcx_m3sub has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443484K) : norcx_m4sub has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443612K) : norcx_m5sub has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443612K) : norcx_tm1sub has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443612K) : norcx_tm2sub has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443740K) : snsbotvia_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443740K) : snstopvia_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443868K) : deepvia_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443868K) : fgetch_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443868K) : ctrgat_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443996K) : fgimp_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (443996K) : emwihv_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (444124K) : lbe_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (444124K) : alcustop_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (444124K) : nometfiller_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (444252K) : prboundary_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (444252K) : exchange0_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (444380K) : exchange0_pin has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (444380K) : exchange0_text has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (444380K) : exchange1_drw has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (444508K) : exchange1_pin has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (444508K) : exchange1_text has 0 polygons
2026-03-24 15:52:30 +0100: Memory Usage (444636K) : exchange2_drw has 0 polygons
